order,Vp,numberOfTurn,0,1,2,3
"A0,A1,A2,A3",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '11', 2: '14', 3: None}, 2, 39, 28]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 34, 24]"
"A0,A1,A3,A2",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '12', 2: '14', 3: None}, 2, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 34, 24]"
"A0,A2,A1,A3",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '15', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '1', 2: '12', 3: None}, 2, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 34, 24]"
"A0,A2,A3,A1",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: '3', 3: None}, 2, 25, 11]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 14, 7]","['agent_2', True, {1: '1', 2: '12', 3: None}, 2, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 34, 24]"
"A0,A3,A1,A2",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '12', 2: '14', 3: None}, 2, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 34, 24]"
"A0,A3,A2,A1",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: '3', 3: None}, 2, 25, 11]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 14, 7]","['agent_2', True, {1: '1', 2: '12', 3: None}, 2, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 34, 24]"
"A1,A0,A2,A3",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '11', 2: '14', 3: None}, 2, 39, 28]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 34, 24]"
"A1,A0,A3,A2",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '12', 2: '14', 3: None}, 2, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 34, 24]"
"A1,A2,A0,A3",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '11', 2: '14', 3: None}, 2, 39, 28]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 34, 24]"
"A1,A2,A3,A0",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '11', 2: '14', 3: None}, 2, 39, 28]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 34, 24]"
"A1,A3,A0,A2",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '12', 2: '14', 3: None}, 2, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 34, 24]"
"A1,A3,A2,A0",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '12', 2: '14', 3: None}, 2, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 34, 24]"
"A2,A0,A1,A3",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '15', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '1', 2: '12', 3: None}, 2, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 34, 24]"
"A2,A0,A3,A1",0.16666666666666666,4,"['agent_0', True, {1: '2', 2: None, 3: None, 4: None}, 1, 25, 11]","['agent_1', True, {1: None, 2: None, 3: None, 4: None}, 0, 14, 7]","['agent_2', True, {1: '1', 2: '12', 3: '14', 4: None}, 3, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 34, 24]"
"A2,A1,A0,A3",0.16666666666666666,3,"['agent_0', True, {1: '2', 2: None, 3: None}, 1, 25, 11]","['agent_1', True, {1: '15', 2: None, 3: None}, 1, 14, 7]","['agent_2', True, {1: '1', 2: '12', 3: None}, 2, 39, 28]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 34, 24]"
