order,Vp,numberOfTurn,0,1,2,3,4
"A0,A1,A2,A3,A4",0.13333333333333333,6,"['agent_0', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 23, 18]","['agent_1', True, {1: '1', 2: '13', 3: '15', 4: '2', 5: '3', 6: None}, 5, 50, 47]","['agent_2', False, {1: None, 2: '17', 3: '42', 4: '47', 5: None, 6: None}, 3, 14, 7]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 23, 14]","['agent_4', False, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 16, 9]"
"A0,A1,A2,A4,A3",0.13333333333333333,6,"['agent_0', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 23, 18]","['agent_1', True, {1: '1', 2: '12', 3: '13', 4: '15', 5: '2', 6: None}, 5, 50, 47]","['agent_2', False, {1: None, 2: '17', 3: '42', 4: '47', 5: None, 6: None}, 3, 14, 7]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 23, 14]","['agent_4', False, {1: '3', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 16, 9]"
"A0,A1,A3,A2,A4",0.13333333333333333,6,"['agent_0', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 23, 18]","['agent_1', True, {1: '1', 2: '13', 3: '15', 4: '2', 5: '3', 6: None}, 5, 50, 47]","['agent_2', False, {1: None, 2: '17', 3: '42', 4: '47', 5: None, 6: None}, 3, 14, 7]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 23, 14]","['agent_4', False, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 16, 9]"
"A0,A1,A3,A4,A2",0.13333333333333333,6,"['agent_0', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 23, 18]","['agent_1', True, {1: '1', 2: '13', 3: '15', 4: '2', 5: '3', 6: None}, 5, 50, 47]","['agent_2', False, {1: None, 2: '42', 3: '47', 4: None, 5: None, 6: None}, 2, 14, 7]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 23, 14]","['agent_4', False, {1: None, 2: '17', 3: None, 4: None, 5: None, 6: None}, 1, 16, 9]"
"A0,A1,A4,A2,A3",0.13333333333333333,6,"['agent_0', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 23, 18]","['agent_1', True, {1: '1', 2: '12', 3: '13', 4: '15', 5: '2', 6: None}, 5, 50, 47]","['agent_2', False, {1: None, 2: '42', 3: None, 4: '47', 5: None, 6: None}, 2, 14, 7]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 23, 14]","['agent_4', False, {1: '3', 2: '17', 3: None, 4: None, 5: None, 6: None}, 2, 16, 9]"
"A0,A1,A4,A3,A2",0.13333333333333333,5,"['agent_0', True, {1: '10', 2: '12', 3: None, 4: None, 5: None}, 2, 23, 18]","['agent_1', True, {1: '1', 2: '13', 3: '15', 4: '2', 5: None}, 4, 50, 47]","['agent_2', False, {1: '17', 2: '42', 3: '47', 4: None, 5: None}, 3, 14, 7]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 23, 14]","['agent_4', False, {1: '3', 2: None, 3: None, 4: None, 5: None}, 1, 16, 9]"
"A0,A2,A1,A3,A4",0.13333333333333333,5,"['agent_0', True, {1: '10', 2: '14', 3: None, 4: None, 5: None}, 2, 23, 18]","['agent_1', True, {1: '11', 2: '13', 3: '15', 4: '2', 5: None}, 4, 50, 47]","['agent_2', False, {1: '1', 2: '42', 3: None, 4: '47', 5: None}, 3, 14, 7]","['agent_3', True, {1: '12', 2: None, 3: None, 4: None, 5: None}, 1, 23, 14]","['agent_4', False, {1: '17', 2: None, 3: None, 4: None, 5: None}, 1, 16, 9]"
"A0,A2,A1,A4,A3",0.13333333333333333,6,"['agent_0', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 23, 18]","['agent_1', True, {1: '11', 2: '13', 3: '15', 4: '2', 5: '3', 6: None}, 5, 50, 47]","['agent_2', False, {1: '1', 2: '17', 3: '42', 4: '47', 5: None, 6: None}, 4, 14, 7]","['agent_3', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 23, 14]","['agent_4', False, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 16, 9]"
"A0,A2,A3,A1,A4",0.13333333333333333,5,"['agent_0', True, {1: '10', 2: '14', 3: None, 4: None, 5: None}, 2, 23, 18]","['agent_1', True, {1: '12', 2: '13', 3: '15', 4: '2', 5: None}, 4, 50, 47]","['agent_2', False, {1: '1', 2: '42', 3: None, 4: '47', 5: None}, 3, 14, 7]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 23, 14]","['agent_4', False, {1: '17', 2: None, 3: None, 4: None, 5: None}, 1, 16, 9]"
"A0,A2,A3,A4,A1",0.13333333333333333,5,"['agent_0', True, {1: '10', 2: None, 3: None, 4: None, 5: None}, 1, 23, 18]","['agent_1', True, {1: '12', 2: '13', 3: '15', 4: '3', 5: None}, 4, 50, 47]","['agent_2', False, {1: '1', 2: '17', 3: '42', 4: '47', 5: None}, 4, 14, 7]","['agent_3', True, {1: '11', 2: '2', 3: None, 4: None, 5: None}, 2, 23, 14]","['agent_4', False, {1: None, 2: None, 3: None, 4: None, 5: None}, 0, 16, 9]"
