order,Vp,numberOfTurn,0,1,2,3,4,5
"A0,A1,A2,A3,A4,A5",0.15384615384615385,4,"['agent_0', True, {1: '1', 2: '14', 3: '2', 4: None}, 3, 40, 32]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 36, 30]","['agent_2', True, {1: '11', 2: None, 3: '17', 4: None}, 2, 17, 6]","['agent_3', True, {1: '12', 2: None, 3: None, 4: None}, 1, 43, 36]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None}, 1, 45, 41]","['agent_5', False, {1: '42', 2: '46', 3: None, 4: None}, 2, 13, 4]"
"A0,A1,A2,A3,A5,A4",0.15384615384615385,4,"['agent_0', True, {1: '1', 2: '14', 3: None, 4: None}, 2, 40, 32]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 36, 30]","['agent_2', True, {1: '11', 2: None, 3: '17', 4: None}, 2, 17, 6]","['agent_3', True, {1: '12', 2: None, 3: None, 4: None}, 1, 43, 36]","['agent_4', True, {1: '13', 2: '15', 3: None, 4: None}, 2, 45, 41]","['agent_5', False, {1: '42', 2: '46', 3: None, 4: None}, 2, 13, 4]"
"A0,A1,A2,A4,A3,A5",0.15384615384615385,4,"['agent_0', True, {1: '1', 2: '14', 3: '2', 4: None}, 3, 40, 32]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 36, 30]","['agent_2', True, {1: '11', 2: None, 3: '17', 4: None}, 2, 17, 6]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None}, 1, 43, 36]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 45, 41]","['agent_5', False, {1: '42', 2: '46', 3: None, 4: None}, 2, 13, 4]"
"A0,A1,A2,A4,A5,A3",0.15384615384615385,4,"['agent_0', True, {1: '1', 2: '14', 3: '2', 4: None}, 3, 40, 32]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 36, 30]","['agent_2', True, {1: '11', 2: None, 3: '17', 4: None}, 2, 17, 6]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None}, 1, 43, 36]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None}, 1, 45, 41]","['agent_5', False, {1: '42', 2: '46', 3: None, 4: None}, 2, 13, 4]"
"A0,A1,A2,A5,A3,A4",0.15384615384615385,4,"['agent_0', True, {1: '1', 2: '14', 3: None, 4: None}, 2, 40, 32]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 36, 30]","['agent_2', True, {1: '11', 2: None, 3: '17', 4: None}, 2, 17, 6]","['agent_3', True, {1: '12', 2: None, 3: None, 4: None}, 1, 43, 36]","['agent_4', True, {1: '13', 2: '15', 3: None, 4: None}, 2, 45, 41]","['agent_5', False, {1: '42', 2: '46', 3: None, 4: None}, 2, 13, 4]"
"A0,A1,A2,A5,A4,A3",0.15384615384615385,4,"['agent_0', True, {1: '1', 2: '14', 3: None, 4: None}, 2, 40, 32]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 36, 30]","['agent_2', True, {1: '11', 2: None, 3: '17', 4: None}, 2, 17, 6]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None}, 1, 43, 36]","['agent_4', True, {1: '12', 2: '15', 3: None, 4: None}, 2, 45, 41]","['agent_5', False, {1: '42', 2: '46', 3: None, 4: None}, 2, 13, 4]"
"A0,A1,A3,A2,A4,A5",0.15384615384615385,4,"['agent_0', True, {1: '1', 2: '13', 3: '2', 4: None}, 3, 40, 32]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 36, 30]","['agent_2', True, {1: None, 2: None, 3: '17', 4: None}, 1, 17, 6]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 43, 36]","['agent_4', True, {1: '12', 2: '14', 3: None, 4: None}, 2, 45, 41]","['agent_5', False, {1: '42', 2: '46', 3: None, 4: None}, 2, 13, 4]"
"A0,A1,A3,A2,A5,A4",0.15384615384615385,5,"['agent_0', True, {1: '1', 2: '13', 3: None, 4: None, 5: None}, 2, 40, 32]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None, 5: None}, 1, 36, 30]","['agent_2', True, {1: None, 2: None, 3: None, 4: '17', 5: None}, 1, 17, 6]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 43, 36]","['agent_4', True, {1: '12', 2: '14', 3: '15', 4: None, 5: None}, 3, 45, 41]","['agent_5', False, {1: '42', 2: None, 3: '46', 4: None, 5: None}, 2, 13, 4]"
"A0,A1,A3,A4,A2,A5",0.15384615384615385,4,"['agent_0', True, {1: '1', 2: '13', 3: '2', 4: None}, 3, 40, 32]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 36, 30]","['agent_2', True, {1: None, 2: None, 3: '17', 4: None}, 1, 17, 6]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 43, 36]","['agent_4', True, {1: '12', 2: '14', 3: None, 4: None}, 2, 45, 41]","['agent_5', False, {1: '42', 2: '46', 3: None, 4: None}, 2, 13, 4]"
"A0,A1,A3,A4,A5,A2",0.15384615384615385,4,"['agent_0', True, {1: '1', 2: '13', 3: '2', 4: None}, 3, 40, 32]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 36, 30]","['agent_2', True, {1: None, 2: None, 3: '17', 4: None}, 1, 17, 6]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 43, 36]","['agent_4', True, {1: '12', 2: '14', 3: None, 4: None}, 2, 45, 41]","['agent_5', False, {1: '42', 2: '46', 3: None, 4: None}, 2, 13, 4]"
