order,Vp,numberOfTurn,turnHistory
"A0,A1,A2,A3",0.14285714285714285,4,"{'turn 0': [{'agent_0': '1', 'agent_1': '10', 'agent_2': '11', 'agent_3': '14'}], 'turn 1': [{'agent_0': None, 'agent_1': None, 'agent_2': '12', 'agent_3': None}], 'turn 2': [{'agent_0': None, 'agent_1': None, 'agent_2': '15', 'agent_3': None}], 'turn 3': [{'agent_0': None, 'agent_1': None, 'agent_2': None, 'agent_3': None}]}"
"A0,A1,A3,A2",0.14285714285714285,3,"{'turn 0': [{'agent_0': '1', 'agent_1': '10', 'agent_3': '14', 'agent_2': '11'}], 'turn 1': [{'agent_0': None, 'agent_1': None, 'agent_3': '15', 'agent_2': '12'}], 'turn 2': [{'agent_0': None, 'agent_1': None, 'agent_3': None, 'agent_2': None}]}"
"A0,A2,A1,A3",0.14285714285714285,4,"{'turn 0': [{'agent_0': '1', 'agent_2': '10', 'agent_1': '11', 'agent_3': '14'}], 'turn 1': [{'agent_0': None, 'agent_2': '12', 'agent_1': None, 'agent_3': None}], 'turn 2': [{'agent_0': None, 'agent_2': '15', 'agent_1': None, 'agent_3': None}], 'turn 3': [{'agent_0': None, 'agent_2': None, 'agent_1': None, 'agent_3': None}]}"
"A0,A2,A3,A1",0.14285714285714285,4,"{'turn 0': [{'agent_0': '1', 'agent_2': '10', 'agent_3': '14', 'agent_1': '11'}], 'turn 1': [{'agent_0': None, 'agent_2': '12', 'agent_3': None, 'agent_1': None}], 'turn 2': [{'agent_0': None, 'agent_2': '15', 'agent_3': None, 'agent_1': None}], 'turn 3': [{'agent_0': None, 'agent_2': None, 'agent_3': None, 'agent_1': None}]}"
"A0,A3,A1,A2",0.14285714285714285,3,"{'turn 0': [{'agent_0': '1', 'agent_3': '10', 'agent_1': '11', 'agent_2': '12'}], 'turn 1': [{'agent_0': None, 'agent_3': '14', 'agent_1': None, 'agent_2': '15'}], 'turn 2': [{'agent_0': None, 'agent_3': None, 'agent_1': None, 'agent_2': None}]}"
"A0,A3,A2,A1",0.14285714285714285,3,"{'turn 0': [{'agent_0': '1', 'agent_3': '10', 'agent_2': '11', 'agent_1': '3'}], 'turn 1': [{'agent_0': None, 'agent_3': '14', 'agent_2': '12', 'agent_1': None}], 'turn 2': [{'agent_0': None, 'agent_3': None, 'agent_2': None, 'agent_1': None}]}"
"A1,A0,A2,A3",0.14285714285714285,4,"{'turn 0': [{'agent_1': '1', 'agent_0': '14', 'agent_2': '10', 'agent_3': '15'}], 'turn 1': [{'agent_1': None, 'agent_0': None, 'agent_2': '11', 'agent_3': None}], 'turn 2': [{'agent_1': None, 'agent_0': None, 'agent_2': '12', 'agent_3': None}], 'turn 3': [{'agent_1': None, 'agent_0': None, 'agent_2': None, 'agent_3': None}]}"
"A1,A0,A3,A2",0.14285714285714285,3,"{'turn 0': [{'agent_1': '1', 'agent_0': '14', 'agent_3': '10', 'agent_2': '11'}], 'turn 1': [{'agent_1': None, 'agent_0': None, 'agent_3': '15', 'agent_2': '12'}], 'turn 2': [{'agent_1': None, 'agent_0': None, 'agent_3': None, 'agent_2': None}]}"
"A1,A2,A0,A3",0.14285714285714285,4,"{'turn 0': [{'agent_1': '1', 'agent_2': '10', 'agent_0': '14', 'agent_3': '15'}], 'turn 1': [{'agent_1': None, 'agent_2': '11', 'agent_0': None, 'agent_3': None}], 'turn 2': [{'agent_1': None, 'agent_2': '12', 'agent_0': None, 'agent_3': None}], 'turn 3': [{'agent_1': None, 'agent_2': None, 'agent_0': None, 'agent_3': None}]}"
"A1,A2,A3,A0",0.14285714285714285,4,"{'turn 0': [{'agent_1': '1', 'agent_2': '10', 'agent_3': '14', 'agent_0': '15'}], 'turn 1': [{'agent_1': None, 'agent_2': '11', 'agent_3': None, 'agent_0': None}], 'turn 2': [{'agent_1': None, 'agent_2': '12', 'agent_3': None, 'agent_0': None}], 'turn 3': [{'agent_1': None, 'agent_2': None, 'agent_3': None, 'agent_0': None}]}"
