ordre_agents,Vp,numberOfTurn,0,1,2,3,4
"A0,A1,A2,A3,A4",0.27272727272727276,5,True,False,False,True,False
"A0,A1,A2,A4,A3",0.27272727272727276,5,True,False,False,True,False
"A0,A1,A3,A2,A4",0.27272727272727276,6,True,False,False,True,False
"A0,A1,A3,A4,A2",0.27272727272727276,6,True,False,False,True,False
"A0,A1,A4,A2,A3",0.27272727272727276,5,True,False,False,True,False
"A0,A1,A4,A3,A2",0.27272727272727276,5,True,False,False,True,False
"A0,A2,A1,A3,A4",0.27272727272727276,5,True,False,False,True,False
"A0,A2,A1,A4,A3",0.27272727272727276,5,True,False,False,True,False
"A0,A2,A3,A1,A4",0.27272727272727276,5,True,False,False,True,False
"A0,A2,A3,A4,A1",0.27272727272727276,5,True,False,False,True,False
"A0,A2,A4,A1,A3",0.27272727272727276,5,True,False,False,True,False
"A0,A2,A4,A3,A1",0.27272727272727276,5,True,False,False,True,False
"A0,A3,A1,A2,A4",0.27272727272727276,6,True,False,False,True,False
"A0,A3,A1,A4,A2",0.27272727272727276,6,True,False,False,True,False
"A0,A3,A2,A1,A4",0.27272727272727276,6,True,False,False,True,False
"A0,A3,A2,A4,A1",0.27272727272727276,6,True,False,False,True,False
"A0,A3,A4,A1,A2",0.27272727272727276,6,True,False,False,True,False
"A0,A3,A4,A2,A1",0.27272727272727276,6,True,False,False,True,False
"A0,A4,A1,A2,A3",0.27272727272727276,5,True,False,False,True,False
"A0,A4,A1,A3,A2",0.27272727272727276,5,True,False,False,True,False
"A0,A4,A2,A1,A3",0.27272727272727276,5,True,False,False,True,False
"A0,A4,A2,A3,A1",0.27272727272727276,5,True,False,False,True,False
"A0,A4,A3,A1,A2",0.27272727272727276,5,True,False,False,True,False
"A0,A4,A3,A2,A1",0.27272727272727276,5,True,False,False,True,False
"A1,A0,A2,A3,A4",0.27272727272727276,5,True,False,False,True,False
"A1,A0,A2,A4,A3",0.27272727272727276,5,True,False,False,True,False
"A1,A0,A3,A2,A4",0.27272727272727276,6,True,False,False,True,False
"A1,A0,A3,A4,A2",0.27272727272727276,6,True,False,False,True,False
