ordre_agents,Vp,numberOfTurn,0,1,2,3,4,5
"A0,A1,A2,A3,A4,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A2,A3,A5,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A2,A4,A3,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A2,A4,A5,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A2,A5,A3,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A2,A5,A4,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A3,A2,A4,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A3,A2,A5,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A3,A4,A2,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A3,A4,A5,A2",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A3,A5,A2,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A3,A5,A4,A2",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A4,A2,A3,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A4,A2,A5,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A4,A3,A2,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A4,A3,A5,A2",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A4,A5,A2,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A4,A5,A3,A2",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A5,A2,A3,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A5,A2,A4,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A5,A3,A2,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A5,A3,A4,A2",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A5,A4,A2,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A1,A5,A4,A3,A2",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A1,A3,A4,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A1,A3,A5,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A1,A4,A3,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A1,A4,A5,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A1,A5,A3,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A1,A5,A4,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A3,A1,A4,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A3,A1,A5,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A3,A4,A1,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A3,A4,A5,A1",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A3,A5,A1,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A3,A5,A4,A1",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A4,A1,A3,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A4,A1,A5,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A4,A3,A1,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A4,A3,A5,A1",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A4,A5,A1,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A4,A5,A3,A1",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A5,A1,A3,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A5,A1,A4,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A5,A3,A1,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A5,A3,A4,A1",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A5,A4,A1,A3",0.12244897959183675,7,True,True,False,True,False,True
"A0,A2,A5,A4,A3,A1",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A1,A2,A4,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A1,A2,A5,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A1,A4,A2,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A1,A4,A5,A2",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A1,A5,A2,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A1,A5,A4,A2",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A2,A1,A4,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A2,A1,A5,A4",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A2,A4,A1,A5",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A2,A4,A5,A1",0.12244897959183675,7,True,True,False,True,False,True
"A0,A3,A2,A5,A1,A4",0.12244897959183675,7,True,True,False,True,False,True
